,Product Name,Prices,Description,Reviews
48,"DELL Inspiron 15 3520 with Backlit Keyboard, Intel Core i5 12th Gen Core i5 - (16 GB/512 GB SSD/Window...","₹48,690",AMD Ryzen 3 Quad Core Processor,4.1
49,Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) YL613 Thin and ...,"₹29,990",8 GB LPDDR5 RAM,4.2
50,Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Lig...,"₹57,790",Windows 11 Operating System,4.2
51,Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹13,990",512 GB SSD,3.7
52,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹37,990",100.63 cm (39.62 cm) Display,4
53,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,"₹27,990",1 Year Onsite Warranty,3.9
54,ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹58,990",AMD Ryzen 3 Quad Core Processor,4.4
55,Acer One 11 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) AO 11 Z8-284 Thin and Li...,"₹17,990",8 GB DDR4 RAM,3.6
56,HP Victus Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,"₹87,999",Windows 11 Operating System,4.2
57,ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-LK54...,"₹50,990",512 GB SSD,4.4
58,Thomson NEO Core Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin...,"₹32,990",39.62 cm (15.6 Inch) Display,4.3
59,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thi...,"₹47,990",1 Year Onsite Warranty,4.2
60,HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5006TU Thin and Light Laptop,"₹35,990",Intel Core i5 Processor (10th Gen),4.2
61,Lenovo IdeaPad Slim 5 AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 16IMH9 Thin and...,"₹79,190",16 GB DDR4 RAM,4.2
62,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,"₹25,490",Windows 11 Home Operating System,4.1
63,ASUS Vivobook 14 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK322WS Thin...,"₹36,990",512 GB SSD,3.9
64,MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-072IN Thin...,"₹39,990",35.56 cm (14 inch) Display,4.4
65,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹47,990","WPS Office, Operating System Software",4.2
66,HP Victus AMD Ryzen 5 Octa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX ...,"₹54,670",1 Year Onsite Warranty,4.5
67,Lenovo V15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) v15 G4 Business Laptop,"₹39,490",AMD Ryzen 5 Hexa Core Processor,4
68,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹47,990",16 GB DDR4 RAM,4.3
69,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Th...,"₹35,990",Windows 11 Operating System,4.2
70,HP 255 G9 Silver AMD Ryzen 5 Hexa Core AMD Ryzen5-5625U - (8 GB/512 GB SSD/Windows 11 Home) 255 G9 Bus...,"₹31,700",512 GB SSD,4.1
